Titre : Paiements;;;;;;;;;;;;;;;;
Compte client : 78569-MELJAC-Standard-Domestique-EUR;;;;;;;;;;;;;;;;
Export réalisé le : 21/03/2024;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Raison sociale;SIREN;NIC;Code acheteur;Ma référence;Mode de paiement;Date de saisie;Montant (EUR);Montant affecté (EUR);Solde;Statut;Numéro de paiement;Date d'échéance;Motif de non affectation;Nom du donneur d'ordre;Numéro du document;Type de document
VALENTE DESIGN;481328904;26;4640845;1518;Virement;29/09/2023;23 474,90;23 474,90;0;Paiement affecté;69031240;-;;VALENTE DESIGN                     ;plusieurs documents associées;SOLDE
MEGALUX MI;531365393;10;4665330;6629;Virement;29/09/2023;112,74;112,74;0;Paiement affecté;69031244;-;;MEGALUX MI SARL                    ;202305350;Facture
BITAROFF;498974146;17;4744956;227;Virement;29/09/2023;125,14;125,14;0;Paiement affecté;69031243;-;;BITAROFF                           ;202305778;Facture
IMBERT ELECTRICITE;487791980;13;6439988;811;Virement;29/09/2023;1 787,82;1 787,82;0;Paiement affecté;69031241;-;;SARL IMBERT ELECTRICITE            ;plusieurs documents associées;SOLDE
LAURIA FRERES;441386232;25;7128841;902;Virement;29/09/2023;1 337,40;1 337,40;0;Paiement affecté;69031242;-;;LAURIA FRERES                      ;plusieurs documents associées;SOLDE
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;28/09/2023;882,11;882,11;0;Paiement affecté;69022782;-;;ROGER DUBOIS SARL                  ;202304923;Facture
JEUX DE LUMIERE;489582320;29;4646611;850;Virement;27/09/2023;15 544,50;15 544,50;0;Paiement affecté;69015303;-;;S.A.R.L. JEUX DE LUMIERE           ;plusieurs documents associées;SOLDE
CEF YESSS ELECTRIQUE;319883344;1063;4672927;1598;Eclatement de cash crédit;27/09/2023;3,19;3,19;0;Paiement affecté;69015301;-;;                                  G;202304985;Facture
SALUSTRA S A;668502156;15;4672952;8972;Eclatement de cash crédit;27/09/2023;92,69;92,69;0;Paiement affecté;69015301;-;;                                   ;202305316;Facture
BITAROFF;498974146;17;4744956;227;Virement;27/09/2023;959,82;959,82;0;Paiement affecté;69015305;-;;BITAROFF                           ;202305704;Facture
BITAROFF;498974146;17;4744956;227;Virement;27/09/2023;129,9;129,9;0;Paiement affecté;69015308;-;;BITAROFF                           ;202305705;Facture
BITAROFF;498974146;17;4744956;227;Virement;27/09/2023;8 421,89;8 421,89;0;Paiement affecté;69015304;-;;BITAROFF                           ;202305703;Facture
LCRB BAT;537545394;42;6445307;878;Virement;27/09/2023;344,57;344,57;0;Paiement affecté;69015307;-;;SARL LC DECO                       ;202305514;Facture
BALANCE MELJAC;999018989;78569;7777777;;Chèque;27/09/2023;7 859,49;7 859,49;0;Paiement affecté;69015301;-;;                                   ;plusieurs documents associées;SOLDE
ESPACE LUMIERE;309931830;33;4641961;610;Virement;26/09/2023;5 155,62;5 155,62;0;Paiement affecté;69006303;-;;ESPACE LUMIERE                     ;202305269;Facture
ERP;822899787;37;6657806;10919;Virement;26/09/2023;1 724,87;1 724,87;0;Paiement affecté;69006304;-;;ERP SARL                           ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;25/09/2023;1 416,25;1 416,25;0;Paiement affecté;68995313;-;;SARL STUDIO ON                     ;202303984;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;25/09/2023;1 125,64;1 125,64;0;Paiement affecté;68995314;-;;SARL STUDIO ON                     ;202304876;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;25/09/2023;137,82;137,82;0;Paiement affecté;68995317;-;;SARL STUDIO ON                     ;202304848;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;25/09/2023;38,65;38,65;0;Paiement affecté;68995321;-;;SARL STUDIO ON                     ;202304848;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;25/09/2023;84,53;84,53;0;Paiement affecté;68995318;-;;SARL STUDIO ON                     ;202304974;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;25/09/2023;70,97;70,97;0;Paiement affecté;68995319;-;;SARL STUDIO ON                     ;202304973;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;25/09/2023;635,7;635,7;0;Paiement affecté;68995315;-;;SARL STUDIO ON                     ;202305129;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;25/09/2023;6 313,52;6 313,52;0;Paiement affecté;68995312;-;;SARL STUDIO ON                     ;202305426;Facture
NOR-ELECTRIQUE;309467702;44;7158978;8368;Chèque;25/09/2023;490,61;490,61;0;Paiement affecté;68995311;-;;                                   ;202305307;Facture
STE LUME;527561039;27;5600126;10863;Virement;22/09/2023;136,39;136,39;0;Paiement affecté;68985962;-;;STE LUME                           ;68985962;Rétrocession d'un crédit
PHIBOR;412790198;37;5639809;1167;Virement;20/09/2023;425,69;425,69;0;Paiement affecté;68968078;-;;PHIBOR ENTREPRISES                 ;202304901;Facture
G & D CONCEPTS;449606565;41;6598447;5316;Virement;20/09/2023;3 031,43;3 031,43;0;Paiement affecté;68968077;-;;G   D CONCEPTS                     ;68968077;Rétrocession d'un crédit
BALANCE MELJAC;999018989;78569;7777777;;Virement;20/09/2023;9 736,29;9 736,29;0;Paiement affecté;68968075;-;;G   D CONCEPTS                     ;68968075;Rétrocession d'un crédit
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;20/09/2023;4 371,13;4 371,13;0;Paiement affecté;68968073;-;;                                   ;plusieurs documents associées;SOLDE
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;20/09/2023;10 005,89;10 005,89;0;Paiement affecté;68968071;-;;                                   ;plusieurs documents associées;SOLDE
DAEM;999373996;98000;5074914;;Virement;19/09/2023;8 521,34;8 521,34;0;Paiement affecté;68957377;-;;DISTRIBUTION D APPAREILLAGE ELECTRI;plusieurs documents associées;SOLDE
FONCIERE DU ROND POINT;398477646;51;5171877;659;Virement;19/09/2023;361,08;361,08;0;Paiement affecté;68957379;-;;FORUM PATRIMOINE                   ;plusieurs documents associées;SOLDE
SASIH;417782190;33;5183621;8055;Eclatement de cash crédit;19/09/2023;33,4;33,4;0;Paiement affecté;68957382;-;;                                   ;202303732;Facture
ESPACE ELEC;412628323;54;5545056;1885;Eclatement de cash crédit;19/09/2023;37,11;37,11;0;Paiement affecté;68957382;-;;                                   ;plusieurs documents associées;SOLDE
MAWA;499761567;35;6946719;c15096;Virement;19/09/2023;256,45;256,45;0;Paiement affecté;68957380;-;;MAWA SAS                           ;202305238;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;19/09/2023;70,51;70,51;0;Paiement affecté;68957382;-;;MELJAC                             ;plusieurs documents associées;SOLDE
REXEL FRANCE;309304616;860;4665279;1344;Virement;18/09/2023;1 120,18;1 120,18;0;Paiement affecté;68937021;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Eclatement de cash crédit;18/09/2023;4,02;4,02;0;Paiement affecté;68937012;-;;                                   ;202303279;Facture
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Eclatement de cash crédit;18/09/2023;14 705,43;14 705,43;0;Paiement affecté;68937012;-;;                                   ;plusieurs documents associées;SOLDE
AQUITAINE ECLAIRAGE;483014411;19;4672932;3296;Virement;18/09/2023;738,96;738,96;0;Paiement affecté;68937025;-;;AQUITAINE ECLAIRAGE                ;202304740;Facture
CGE DISTRIBUTION;308403955;1870;4681608;288;Eclatement de cash crédit;18/09/2023;59,58;59,58;0;Paiement affecté;68937012;-;;                                   ;202303240;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;18/09/2023;3 831,18;3 831,18;0;Paiement affecté;68937018;-;;SARL STUDIO ON                     ;202304972;Facture
BUCHON VINCENT;482375839;16;5246320;1761;Virement;18/09/2023;5 213,91;5 213,91;0;Paiement affecté;68937016;-;;SARL  BUCHON VINCENT               ;68937016;Rétrocession d'un crédit
GERONDEAU;808295703;17;5819469;12711;Virement;18/09/2023;127,94;127,94;0;Paiement affecté;68937029;-;;GERONDEAU SAS                      ;202304516;Facture
LCRB BAT;537545394;42;6445307;878;Virement;18/09/2023;148,24;148,24;0;Paiement affecté;68937027;-;;SARL LC DECO                       ;202305375;Facture
SONEPAR SUD-EST;956500367;910;7238670;17401;Eclatement de cash crédit;18/09/2023;885,12;885,12;0;Paiement affecté;68937012;-;;                                   ;202303055;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;18/09/2023;15 654,15;15 654,15;0;Paiement affecté;68937012;-;;SONEPAR FRANCE DISTRIBUTION        ;plusieurs documents associées;SOLDE
TSEE FRANCE;799155858;19;6211145;1449;Virement;15/09/2023;90,64;90,64;0;Paiement affecté;68930042;-;;TSEE FRANCE                        ;202305031;Facture
SODELECT;380461855;47;4672914;1415;Virement;14/09/2023;11 067,06;11 067,06;0;Paiement affecté;68921250;-;;SODELECT SARL                      ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;14/09/2023;757,24;757,24;0;Paiement affecté;68921251;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
ELP SERVICES;487470163;22;4643823;7618;Virement;13/09/2023;36,52;36,52;0;Paiement affecté;68913564;-;;SARL ELP SERVICES                  ;202305151;Facture
EIFFAGE ENERGIE SYSTEMES-IDF;420540643;269;4665329;662;Virement;12/09/2023;4 743,70;4 743,70;0;Paiement affecté;68903770;-;;EIFFAGE ENERGIE SYSTEMES           ;202303399;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;12/09/2023;53,66;53,66;0;Paiement affecté;68903774;-;;ROGER DUBOIS SARL                  ;202305143;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;12/09/2023;83,33;83,33;0;Paiement affecté;68903773;-;;ROGER DUBOIS SARL                  ;202305080;Facture
PROLUM CHAMPAGNE ARDENNES;501624613;29;4718356;8673;Virement;12/09/2023;1 110,99;1 110,99;0;Paiement affecté;68903771;-;;PROLUM CHAMPAGNE ARDENNES          ;plusieurs documents associées;SOLDE
THERMOZYKLUS;439649856;44;6730912;8887;Virement;12/09/2023;13 381,95;13 381,95;0;Paiement affecté;68903768;-;;MELJAC                             ;plusieurs documents associées;SOLDE
VERNASSA ELECTRICITE;500194188;16;7096087;5792;Virement;12/09/2023;86,64;86,64;0;Paiement affecté;68903772;-;;SARL  VERNASSA ELECTRICITE         ;202304904;Facture
LUMEN TOULOUSE;903004521;14;7096391;16548;Eclatement de cash crédit;12/09/2023;5 166,31;5 166,31;0;Paiement affecté;68903768;-;;                                   ;plusieurs documents associées;SOLDE
AURELEC;752978999;80;7128768;17152;Eclatement de cash crédit;12/09/2023;1 395,14;1 395,14;0;Paiement affecté;68903768;-;;                                   ;202303766;Facture
L'ELECTRICIEN BY T;890859705;18;7444665;16881;Eclatement de cash crédit;12/09/2023;4 377,96;4 377,96;0;Paiement affecté;68903768;-;;                                   ;plusieurs documents associées;SOLDE
LES ARTISANS BATISSEURS;437811904;22;6567495;11476;Virement;11/09/2023;452,53;452,53;0;Paiement affecté;68892326;-;;LES ARTISANS BATISSEURS            ;68892326;Rétrocession d'un crédit
LES ARTISANS BATISSEURS;437811904;22;6567495;11476;Virement;11/09/2023;411,98;411,98;0;Paiement affecté;68892328;-;;LES ARTISANS BATISSEURS            ;68892328;Rétrocession d'un crédit
LES ARTISANS BATISSEURS;437811904;22;6567495;11476;Virement;11/09/2023;102,43;102,43;0;Paiement affecté;68892330;-;;LES ARTISANS BATISSEURS            ;68892330;Rétrocession d'un crédit
PROLUM NORD PAS DE CALAIS;448384347;51;4672951;8633;Virement;08/09/2023;37,88;37,88;0;Paiement affecté;68882915;-;;PROLUM   NORD PAS DE CALAIS        ;202304484;Facture
LUX DESIGN;500842752;15;4786559;7375;Virement;08/09/2023;153,19;153,19;0;Paiement affecté;68882913;-;;SARL LUX DESIGN                    ;202304610;Facture
WITO;527572572;32;7042397;8996;Virement;08/09/2023;2 984,83;2 984,83;0;Paiement affecté;68882911;-;;WITO                               ;plusieurs documents associées;SOLDE
VERNASSA ELECTRICITE;500194188;16;7096087;5792;Virement;08/09/2023;550,14;550,14;0;Paiement affecté;68882912;-;;SARL  VERNASSA ELECTRICITE         ;202303922;Facture
PROLUM ATLANTIQUE;834606501;23;7238662;16787;Virement;08/09/2023;14 530,40;14 530,40;0;Paiement affecté;68882910;-;;PROLUM ATLANTIQUE                  ;plusieurs documents associées;SOLDE
H T E HAUTE TECHNOLOGIE ELECTRIQUE;449654441;12;4640875;8606;Virement;07/09/2023;993,37;993,37;0;Paiement affecté;68874995;-;;H T E   HAUTE TECHNOLOGIE ELECTRIQU;202304542;Facture
TIAS;434770442;29;4646614;1480;Virement;07/09/2023;143,52;143,52;0;Paiement affecté;68874999;-;;SAS TIAS                           ;202305330;Facture
MISE EN SCENE;434895066;34;4665331;7955;Virement;07/09/2023;920,96;920,96;0;Paiement affecté;68874996;-;;MISE EN SCENE                      ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;07/09/2023;4 025,69;4 025,69;0;Paiement affecté;68874993;-;;SARL STUDIO ON                     ;202305272;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;07/09/2023;164,36;164,36;0;Paiement affecté;68874998;-;;SARL STUDIO ON                     ;202305348;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;07/09/2023;75,19;75,19;0;Paiement affecté;68875001;-;;SARL STUDIO ON                     ;202305349;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;07/09/2023;137,82;137,82;0;Paiement affecté;68875000;-;;SARL STUDIO ON                     ;202305289;Facture
LUX HOME LIGHTING;833459381;12;6599801;14161;Virement;07/09/2023;419,75;419,75;0;Paiement affecté;68874997;-;;LUX HOME LIGHTING                  ;202305121;Facture
GUY MUFFAT ELECTRICITE;328648605;25;4646612;1085;Virement;06/09/2023;1 931,90;1 931,90;0;Paiement affecté;68866971;-;;GUY   MUFFAT ELECTRICITE           ;202304818;Facture
GUY MUFFAT ELECTRICITE;328648605;25;4646612;1085;Virement;06/09/2023;193,19;193,19;0;Paiement affecté;68866974;-;;GUY   MUFFAT ELECTRICITE           ;202305122;Facture
CEF YESSS ELECTRIQUE;319883344;1063;4672927;1598;Eclatement de cash crédit;06/09/2023;31,01;31,01;0;Paiement affecté;68866965;-;;                                  G;202304279;Facture
SR ELECTROTECHNIQUE;488375072;37;4672931;2983;Virement;06/09/2023;709,72;709,72;0;Paiement affecté;68866973;-;;SOCIETE SR                         ;plusieurs documents associées;SOLDE
DELUX;500478813;16;4777577;479;Virement;06/09/2023;3 250,49;3 250,49;0;Paiement affecté;68866969;-;;DELUX                              ;plusieurs documents associées;SOLDE
CEF YESSS ELECTRIQUE;319883344;1873;4796510;1658;Eclatement de cash crédit;06/09/2023;302,17;302,17;0;Paiement affecté;68866965;-;;                                  G;202304293;Facture
GUINIER GENIE ELECTRIQUE;334851755;51;4796677;754;Virement;06/09/2023;9 175,15;9 175,15;0;Paiement affecté;68866968;-;;GUINIER GENIE ELECTRIQUE           ;68866968;Rétrocession d'un crédit
STE LUME;527561039;27;5600126;10863;Virement;06/09/2023;3 047,65;3 047,65;0;Paiement affecté;68866970;-;;STE LUME                           ;202304006;Facture
AGB;333296580;74;6429428;13595;Eclatement de cash crédit;06/09/2023;62,46;62,46;0;Paiement affecté;68866965;-;;                                   ;202304024;Facture
AGB;333296580;74;6429428;13595;Eclatement de cash crédit;06/09/2023;33,14;33,14;0;Paiement affecté;68866965;-;;                                   ;202304957;Facture
ERP;822899787;37;6657806;10919;Virement;06/09/2023;12 491,01;12 491,01;0;Paiement affecté;68866966;-;;ERP SARL                           ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Chèque;06/09/2023;428,78;428,78;0;Paiement affecté;68866965;-;;                                   ;plusieurs documents associées;SOLDE
ELP SERVICES;487470163;22;4643823;7618;Virement;05/09/2023;704,82;704,82;0;Paiement affecté;68856441;-;;SARL ELP SERVICES                  ;202304541;Facture
MEGALUX MI;531365393;10;4665330;6629;Eclatement de cash crédit;05/09/2023;209,64;209,64;0;Paiement affecté;68856440;-;;                                  G;plusieurs documents associées;SOLDE
DRL;429079528;31;4746062;8854;Virement;05/09/2023;459,34;459,34;0;Paiement affecté;68856443;-;;DIFFUSION RATIONNELLE DE LA LUMI   ;202305041;Facture
ESPACE ELEC;412628323;54;5545056;1885;Eclatement de cash crédit;05/09/2023;1 006,13;1 006,13;0;Paiement affecté;68856440;-;;                                   ;202304691;Facture
POUGET;801933276;17;6551580;C8778;Virement;05/09/2023;104,4;104,4;0;Paiement affecté;68856445;-;;EURL  POUGET                       ;202305182;Facture
POUGET;801933276;17;6551580;C8778;Virement;05/09/2023;181,13;181,13;0;Paiement affecté;68856444;-;;EURL  POUGET                       ;202305125;Facture
SPIE BUILDING SOLUTIONS;440055861;312;7383984;13423;Eclatement de cash crédit;05/09/2023;10 139,74;10 139,74;0;Paiement affecté;68856440;-;;                                   ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;05/09/2023;11 355,51;11 355,51;0;Paiement affecté;68856440;-;;MELJAC                             ;plusieurs documents associées;SOLDE
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;04/09/2023;20 205,23;20 205,23;0;Paiement affecté;68836330;-;;SARL SERRA                         ;plusieurs documents associées;SOLDE
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;04/09/2023;311,65;311,65;0;Paiement affecté;68836342;-;;ROGER DUBOIS SARL                  ;202304017;Facture
PURE INSPIRATION;412451965;13;5001567;10253;Virement;04/09/2023;22,58;22,58;0;Paiement affecté;68836359;-;;PURE INSPIRATION                   ;202304968;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;04/09/2023;1 912,13;1 912,13;0;Paiement affecté;68836334;-;;PARIS DESIGN DISTRICT              ;202304513;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;04/09/2023;79,21;79,21;0;Paiement affecté;68836356;-;;PARIS DESIGN DISTRICT              ;202305032;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;04/09/2023;111,96;111,96;0;Paiement affecté;68836353;-;;PARIS DESIGN DISTRICT              ;202305123;Facture
HENRI;702016452;22;5339496;778;Virement;04/09/2023;45 152,34;45 152,34;0;Paiement affecté;68836328;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
OMNILUM;534132444;17;5567723;5464;Virement;04/09/2023;241,48;241,48;0;Paiement affecté;68836344;-;;SARL OMNILUM                       ;plusieurs documents associées;SOLDE
LUCE VITA;788957835;36;5764068;8976;Virement;04/09/2023;155,26;155,26;0;Paiement affecté;68836347;-;;SARL LUCE VITA                     ;202304473;Facture
LUCE VITA;788957835;36;5764068;8976;Virement;04/09/2023;121;121;0;Paiement affecté;68836350;-;;SARL LUCE VITA                     ;202305042;Facture
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;04/09/2023;750,83;750,83;0;Paiement affecté;68836337;-;;SAS   ECLAIRAGE LED DIFFUSION      ;202304519;Facture
LUCE VITA;788957835;36;5764068;8976;Virement;04/09/2023;6,3;6,3;0;Paiement affecté;68836363;-;;SARL LUCE VITA                     ;202304721;Facture
VIBERT ECLAIRAGE;491158127;36;4640866;4085;Virement;01/09/2023;76,24;76,24;0;Paiement affecté;68825179;-;;SARL  VIBERT ECLAIRAGE             ;202304322;Facture
H T E HAUTE TECHNOLOGIE ELECTRIQUE;449654441;12;4640875;8606;Virement;01/09/2023;53,44;53,44;0;Paiement affecté;68825183;-;;H T E   HAUTE TECHNOLOGIE ELECTRIQU;plusieurs documents associées;SOLDE
ESPACE LUMIERE;309931830;33;4641961;610;Virement;01/09/2023;1 711,02;1 711,02;0;Paiement affecté;68825167;-;;ESPACE LUMIERE                     ;plusieurs documents associées;SOLDE
PROLUM OUEST;493567150;21;4665276;1209;Virement;01/09/2023;3 035,39;3 035,39;0;Paiement affecté;68825164;-;;PROLUM OUEST                       ;202304579;Facture
REXEL FRANCE;309304616;860;4665279;1344;Virement;01/09/2023;449,21;449,21;0;Paiement affecté;68825170;-;;REXEL FRANCE                       ;202303341;Facture
GS2E;520563602;25;4669336;4081;Virement;01/09/2023;111,66;111,66;0;Paiement affecté;68825176;-;;GS2E                               ;202304877;Facture
IMBERT ELECTRICITE;487791980;13;6439988;811;Virement;01/09/2023;7 786,49;7 786,49;0;Paiement affecté;68825160;-;;SARL IMBERT ELECTRICITE            ;plusieurs documents associées;SOLDE
DURET ELECTRICITE;412337537;44;7365867;2535;Virement;01/09/2023;244,49;244,49;0;Paiement affecté;68825173;-;;DURET ELECTRICITE                  ;202304292;Facture
ANGE ET LUX;491308474;23;4640864;8279;Virement;31/08/2023;1 411,68;1 411,68;0;Paiement affecté;68815272;-;;ANGE ET LUX                        ;202304530;Facture
TAT ELECTRICITE;397607011;38;4672916;1443;Virement;31/08/2023;787,93;787,93;0;Paiement affecté;68815273;-;;SARL TAT ELECTRICITE               ;202304468;Facture
AQUITAINE ECLAIRAGE;483014411;19;4672932;3296;Virement;31/08/2023;7 565,09;7 565,09;0;Paiement affecté;68815271;-;;AQUITAINE ECLAIRAGE                ;plusieurs documents associées;SOLDE
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;31/08/2023;125,14;125,14;0;Paiement affecté;68815274;-;;ELECTRICITE PLAFONDS LUMIERE       ;202305130;Facture
CEF YESSS ELECTRIQUE;319883344;1063;4672927;1598;Eclatement de cash crédit;30/08/2023;60,47;60,47;0;Paiement affecté;68805483;-;;                                  G;202304038;Facture
CEF YESSS ELECTRIQUE;319883344;1063;4672927;1598;Eclatement de cash crédit;30/08/2023;3 144,78;3 144,78;0;Paiement affecté;68805483;-;;                                  G;plusieurs documents associées;SOLDE
SALUSTRA S A;668502156;15;4672952;8972;Eclatement de cash crédit;30/08/2023;55,93;55,93;0;Paiement affecté;68805483;-;;                                   ;plusieurs documents associées;SOLDE
RDM;433792876;24;4702808;1224;Eclatement de cash crédit;30/08/2023;23 928,00;23 928,00;0;Paiement affecté;68805483;-;;                                   ;plusieurs documents associées;SOLDE
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;30/08/2023;55 761,05;55 761,05;0;Paiement affecté;68805485;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;plusieurs documents associées;SOLDE
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;30/08/2023;43 882,36;43 882,36;0;Paiement affecté;68805487;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;plusieurs documents associées;SOLDE
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;30/08/2023;52,18;52,18;0;Paiement affecté;68805489;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;202304431;Facture
BTB GENIE ELECTRIQUE & SERVICE;414894857;39;7306427;3875;Eclatement de cash crédit;30/08/2023;330,4;330,4;0;Paiement affecté;68805483;-;;                                   ;202304186;Facture
BALANCE MELJAC;999018989;78569;7777777;;Chèque;30/08/2023;28 171,83;28 171,83;0;Paiement affecté;68805483;-;;                                   ;plusieurs documents associées;SOLDE
SALUSTRA S A;668502156;15;4672952;8972;Chèque;29/08/2023;89,63;89,63;0;Paiement affecté;68658467;-;;                                   ;202304156;Facture
JP LEBRUN;378155824;55;4672955;913;Virement;29/08/2023;1 803,41;1 803,41;0;Paiement affecté;68795104;-;;ETS LEBRUN ELECTRICITE             ;plusieurs documents associées;SOLDE
BAILLY MONTHURY;572190288;17;4724248;160;Eclatement de cash crédit;29/08/2023;168,38;168,38;0;Paiement affecté;68785213;-;;                                   ;202303809;Facture
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;29/08/2023;12 062,56;12 062,56;0;Paiement affecté;68795102;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;plusieurs documents associées;SOLDE
LUMEN TOULOUSE;903004521;14;7096391;16548;Eclatement de cash crédit;29/08/2023;2 456,26;2 456,26;0;Paiement affecté;68785213;-;;                                  G;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;28/08/2023;2 624,64;2 624,64;0;Paiement affecté;68785213;-;;MELJAC                             ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;25/08/2023;2 588,02;2 588,02;0;Paiement affecté;68776936;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
ERP;822899787;37;6657806;10919;Virement;25/08/2023;8 418,04;8 418,04;0;Paiement affecté;68776935;-;;ERP SARL                           ;plusieurs documents associées;SOLDE
CLAUDE MERMIN ELECTRICITE;320917107;56;6309680;1047;Virement;22/08/2023;143,62;143,62;0;Paiement affecté;68753529;-;;SOCIETE CLAUDE MERMIN ELECTRICITE G;202304337;Facture
DAEM;999373996;98000;5074914;;Virement;18/08/2023;1 194,05;1 194,05;0;Paiement affecté;68726536;-;;DISTRIBUTION D APPAREILLAGE ELECTRI;plusieurs documents associées;SOLDE
OBJECTIF LUMIERE;821619921;17;5232333;10396;Virement;18/08/2023;92,92;92,92;0;Paiement affecté;68726543;-;;SARL OBJECTIF LU                   ;202303739;Facture
OBJECTIF LUMIERE;821619921;17;5232333;10396;Virement;18/08/2023;447,83;447,83;0;Paiement affecté;68726540;-;;SARL OBJECTIF LU                   ;202303685;Facture
OBJECTIF LUMIERE;821619921;17;5232333;10396;Virement;18/08/2023;490,13;490,13;0;Paiement affecté;68726538;-;;SARL OBJECTIF LU                   ;202304331;Facture
VERNASSA ELECTRICITE;500194188;16;7096087;5792;Virement;18/08/2023;99,23;99,23;0;Paiement affecté;68726541;-;;SARL  VERNASSA ELECTRICITE         ;202304658;Facture
JEUX DE LUMIERE;489582320;29;4646611;850;Virement;17/08/2023;4 760,50;4 760,50;0;Paiement affecté;68717248;-;;S.A.R.L. JEUX DE LUMIERE           ;plusieurs documents associées;SOLDE
PROLUM CHAMPAGNE ARDENNES;501624613;29;4718356;8673;Virement;17/08/2023;222,88;222,88;0;Paiement affecté;68717254;-;;PROLUM CHAMPAGNE ARDENNES          ;plusieurs documents associées;SOLDE
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;17/08/2023;42 716,86;42 716,86;0;Paiement affecté;68717247;-;;SAS   ECLAIRAGE LED DIFFUSION      ;202303978;Facture
GERONDEAU;808295703;17;5819469;12711;Virement;17/08/2023;658,42;658,42;0;Paiement affecté;68717246;-;;GERONDEAU SAS                      ;202304173;Facture
ERGELEC SERVICE;408577849;24;7001294;2478;Virement;17/08/2023;315,46;315,46;0;Paiement affecté;68717253;-;;SOCIETE ERGELEC SERVICE            ;202304140;Facture
REXEL FRANCE;309304616;860;4665279;1344;Virement;17/08/2023;3 597,42;3 597,42;0;Paiement affecté;68717250;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
MAWA;499761567;35;6946719;c15096;Virement;17/08/2023;3 333,25;3 333,25;0;Paiement affecté;68717252;-;;MAWA MONACO                        ;68717252;Rétrocession d'un crédit
VIBERT ECLAIRAGE;491158127;36;4640866;4085;Virement;16/08/2023;134,16;134,16;0;Paiement affecté;68705050;-;;SARL  VIBERT ECLAIRAGE             ;plusieurs documents associées;SOLDE
CGE DISTRIBUTION;308403955;1870;4681608;288;Virement;16/08/2023;719,83;719,83;0;Paiement affecté;68705049;-;;SONEPAR FRANCE DISTRIBUTION        ;202304009;Facture
ASSA ABLOY HOSPITALITY;323946863;61;6542137;10085;Virement;16/08/2023;2 482,04;2 482,04;0;Paiement affecté;68700416;-;;ASSA ABLOY GLOBAL SOLUTIONS FRANCE ;plusieurs documents associées;SOLDE
